,device_type,pressure,sensor_type,timestamps
432,smartphone,101.4774,pressure,1.528128905999874e+18
433,smartphone,101.4776,pressure,1.528128905999874e+18
434,smartphone,101.4783,pressure,1.528128907999871e+18
435,smartphone,101.4783,pressure,1.528128907999871e+18
436,smartphone,101.4782,pressure,1.5281289099998697e+18
437,smartphone,101.4768,pressure,1.5281289099998697e+18
438,smartphone,101.4768,pressure,1.528128911999868e+18
439,smartphone,101.4786,pressure,1.528128911999868e+18
440,smartphone,101.4786,pressure,1.528128913999865e+18
441,smartphone,101.4769,pressure,1.528128913999865e+18
442,smartphone,101.475,pressure,1.528128915999863e+18
443,smartphone,101.4742,pressure,1.528128915999863e+18
444,smartphone,101.4742,pressure,1.528128917999861e+18
445,smartphone,101.4752,pressure,1.528128917999861e+18
446,smartphone,101.478,pressure,1.5281289199998592e+18
447,smartphone,101.4776,pressure,1.5281289199998592e+18
448,smartphone,101.4765,pressure,1.528128921999857e+18
449,smartphone,101.4764,pressure,1.528128921999857e+18
450,smartphone,101.4763,pressure,1.5281289239998538e+18
451,smartphone,101.4763,pressure,1.5281289239998538e+18
452,smartphone,101.477,pressure,1.528128925999852e+18
453,smartphone,101.4771,pressure,1.528128925999852e+18
454,smartphone,101.478,pressure,1.528128927999849e+18
455,smartphone,101.4782,pressure,1.528128927999849e+18
456,smartphone,101.4783,pressure,1.5281289299998472e+18
457,smartphone,101.4783,pressure,1.5281289299998472e+18
458,smartphone,101.4783,pressure,1.528128931999845e+18
459,smartphone,101.4757,pressure,1.528128931999845e+18
460,smartphone,101.4757,pressure,1.5281289339998428e+18
461,smartphone,101.4791,pressure,1.5281289339998428e+18
462,smartphone,101.4791,pressure,1.52812893599984e+18
463,smartphone,101.4776,pressure,1.52812893599984e+18
464,smartphone,101.4772,pressure,1.5281289379998382e+18
465,smartphone,101.4772,pressure,1.5281289379998382e+18
466,smartphone,101.4758,pressure,1.5281289379998382e+18
467,smartphone,101.4735,pressure,1.528128939999836e+18
468,smartphone,101.4726,pressure,1.528128939999836e+18
469,smartphone,101.4706,pressure,1.528128941999833e+18
470,smartphone,101.4683,pressure,1.528128941999833e+18
471,smartphone,101.4677,pressure,1.5281289439998318e+18
472,smartphone,101.4677,pressure,1.5281289439998318e+18
473,smartphone,101.4645,pressure,1.5281289459998287e+18
474,smartphone,101.4644,pressure,1.5281289459998287e+18
475,smartphone,101.4615,pressure,1.528128947999827e+18
476,smartphone,101.4607,pressure,1.528128947999827e+18
477,smartphone,101.4604,pressure,1.528128949999825e+18
478,smartphone,101.4607,pressure,1.528128949999825e+18
479,smartphone,101.4613,pressure,1.528128951999823e+18
480,smartphone,101.4615,pressure,1.528128951999823e+18
481,smartphone,101.4617,pressure,1.5281289539998213e+18
482,smartphone,101.4615,pressure,1.5281289539998213e+18
483,smartphone,101.4607,pressure,1.528128955999819e+18
484,smartphone,101.458,pressure,1.528128955999819e+18
485,smartphone,101.458,pressure,1.528128957999816e+18
486,smartphone,101.4582,pressure,1.528128957999816e+18
487,smartphone,101.4576,pressure,1.5281289599998141e+18
488,smartphone,101.4566,pressure,1.5281289599998141e+18
489,smartphone,101.4549,pressure,1.5281289619998108e+18
490,smartphone,101.4549,pressure,1.5281289619998108e+18
491,smartphone,101.4552,pressure,1.528128963999809e+18
492,smartphone,101.4559,pressure,1.528128963999809e+18
493,smartphone,101.4566,pressure,1.528128965999808e+18
494,smartphone,101.46,pressure,1.528128965999808e+18
495,smartphone,101.4644,pressure,1.528128967999805e+18
496,smartphone,101.4677,pressure,1.528128967999805e+18
497,smartphone,101.4711,pressure,1.5281289699998019e+18
498,smartphone,101.4711,pressure,1.5281289709998019e+18
499,smartphone,101.4711,pressure,1.5281289709998019e+18
500,smartphone,101.4734,pressure,1.5281289729998e+18
501,smartphone,101.4734,pressure,1.5281289729998e+18
502,smartphone,101.473,pressure,1.528128974999798e+18
503,smartphone,101.473,pressure,1.528128974999798e+18
504,smartphone,101.473,pressure,1.5281289769997962e+18
505,smartphone,101.473,pressure,1.5281289769997962e+18
506,smartphone,101.473,pressure,1.5281289789997932e+18
507,smartphone,101.4724,pressure,1.5281289789997932e+18
508,smartphone,101.4721,pressure,1.52812898099979e+18
